id,transaction_id,amount,fraud_probability,prediction,alert_time,severity
1,5,1.0,0.9995,1,2026-05-15 14:28:35,HIGH
2,10,802.52,0.8944,1,2026-05-15 14:28:35,MEDIUM
3,12,99.99,0.9997,1,2026-05-15 14:28:35,HIGH
4,17,323.77,0.9442,1,2026-05-15 14:28:35,HIGH
5,20,1.0,0.9996,1,2026-05-15 14:28:35,HIGH
6,22,0.0,0.9977,1,2026-05-15 14:28:36,HIGH
7,23,175.9,0.9996,1,2026-05-15 14:28:36,HIGH
8,25,1402.16,0.9987,1,2026-05-15 14:28:36,HIGH
9,26,318.11,0.9989,1,2026-05-15 14:28:36,HIGH
10,27,111.7,0.9997,1,2026-05-15 14:28:36,HIGH
11,31,0.0,0.9997,1,2026-05-15 14:28:36,HIGH
12,32,1.0,0.9997,1,2026-05-15 14:28:36,HIGH
13,35,1.0,0.9951,1,2026-05-15 14:28:36,HIGH
14,36,1389.56,0.9992,1,2026-05-15 14:28:36,HIGH
15,40,99.99,0.9997,1,2026-05-15 14:28:36,HIGH
16,41,8.64,0.9997,1,2026-05-15 14:28:37,HIGH
17,42,1.0,0.9997,1,2026-05-15 14:28:37,HIGH
18,43,37.93,0.9997,1,2026-05-15 14:28:37,HIGH
19,45,316.06,0.9997,1,2026-05-15 14:28:37,HIGH
20,46,240.77,0.9997,1,2026-05-15 14:28:37,HIGH
21,49,10.7,0.9994,1,2026-05-15 14:28:37,HIGH
22,53,0.2,0.8203,1,2026-05-15 14:28:37,MEDIUM
23,55,1.0,0.9996,1,2026-05-15 14:28:37,HIGH
24,56,0.0,0.9996,1,2026-05-15 14:28:37,HIGH
25,58,1.0,0.9996,1,2026-05-15 14:28:37,HIGH
26,59,7.53,0.9996,1,2026-05-15 14:28:37,HIGH
27,61,0.01,0.9997,1,2026-05-15 14:28:38,HIGH
28,62,1.0,0.9996,1,2026-05-15 14:28:38,HIGH
29,64,1.1,0.9995,1,2026-05-15 14:28:38,HIGH
30,69,99.99,0.9997,1,2026-05-15 14:28:38,HIGH
31,71,1.0,0.948,1,2026-05-15 14:28:38,HIGH
32,75,600.73,0.9977,1,2026-05-15 14:28:38,HIGH
33,76,1.0,0.9923,1,2026-05-15 14:28:38,HIGH
34,78,3.79,0.8699,1,2026-05-15 14:28:38,MEDIUM
35,80,30.31,0.9997,1,2026-05-15 14:28:38,HIGH
36,82,99.99,0.9997,1,2026-05-15 14:28:39,HIGH
37,83,252.92,0.9997,1,2026-05-15 14:28:39,HIGH
38,84,99.99,0.9997,1,2026-05-15 14:28:39,HIGH
39,85,1.0,0.9996,1,2026-05-15 14:28:39,HIGH
40,90,1.0,0.7718,1,2026-05-15 14:28:39,MEDIUM
41,91,480.72,0.8929,1,2026-05-15 14:28:39,MEDIUM
42,92,0.0,0.9989,1,2026-05-15 14:28:39,HIGH
43,94,1354.25,0.9989,1,2026-05-15 14:28:39,HIGH
44,96,237.26,0.9914,1,2026-05-15 14:28:39,HIGH
45,98,19.02,0.9969,1,2026-05-15 14:28:39,HIGH
46,99,99.99,0.9997,1,2026-05-15 14:28:39,HIGH
47,102,186.13,0.9994,1,2026-05-15 14:28:40,HIGH
48,104,1.0,0.9834,1,2026-05-15 14:28:40,HIGH
49,109,99.99,0.9997,1,2026-05-15 14:28:40,HIGH
50,115,0.0,0.9996,1,2026-05-15 14:28:40,HIGH
51,116,1.1,0.9889,1,2026-05-15 14:28:40,HIGH
52,117,153.46,0.9997,1,2026-05-15 14:28:40,HIGH
53,120,75.86,0.9996,1,2026-05-15 14:28:40,HIGH
54,122,1.59,0.9995,1,2026-05-15 14:28:41,HIGH
55,124,60.0,0.9737,1,2026-05-15 14:28:41,HIGH
56,125,0.76,0.7807,1,2026-05-15 14:28:41,MEDIUM
57,128,1.0,0.9997,1,2026-05-15 14:28:41,HIGH
58,133,0.0,0.9997,1,2026-05-15 14:28:41,HIGH
59,136,1.0,0.9996,1,2026-05-15 14:28:41,HIGH
60,137,459.07,0.9994,1,2026-05-15 14:28:41,HIGH
61,138,0.0,0.9721,1,2026-05-15 14:28:41,HIGH
62,139,1.0,0.9996,1,2026-05-15 14:28:41,HIGH
63,140,99.99,0.9997,1,2026-05-15 14:28:41,HIGH
64,141,1218.89,0.9896,1,2026-05-15 14:28:42,HIGH
65,142,99.85,0.9997,1,2026-05-15 14:28:42,HIGH
66,144,451.27,0.8537,1,2026-05-15 14:28:42,MEDIUM
67,148,30.14,0.7477,1,2026-05-15 14:28:42,MEDIUM
68,150,33.76,0.6103,1,2026-05-15 14:28:42,LOW
69,152,0.76,0.9996,1,2026-05-15 14:28:42,HIGH
70,154,122.68,0.9996,1,2026-05-15 14:28:42,HIGH
71,156,7.06,0.9713,1,2026-05-15 14:28:42,HIGH
72,157,104.03,0.9997,1,2026-05-15 14:28:42,HIGH
73,159,3.76,0.9711,1,2026-05-15 14:28:42,HIGH
74,167,44.9,0.9997,1,2026-05-15 14:28:43,HIGH
75,169,11.4,0.9996,1,2026-05-15 14:28:43,HIGH
76,170,1.0,0.9997,1,2026-05-15 14:28:43,HIGH
77,171,2125.87,0.8583,1,2026-05-15 14:28:43,MEDIUM
78,172,0.38,0.999,1,2026-05-15 14:28:43,HIGH
79,173,112.33,0.9997,1,2026-05-15 14:28:43,HIGH
80,175,349.08,0.9984,1,2026-05-15 14:28:43,HIGH
81,176,45.51,0.9997,1,2026-05-15 14:28:43,HIGH
82,177,1.0,0.926,1,2026-05-15 14:28:43,HIGH
83,178,106.9,0.9996,1,2026-05-15 14:28:43,HIGH
84,183,2.0,0.9995,1,2026-05-15 14:28:43,HIGH
85,186,99.99,0.9996,1,2026-05-15 14:28:44,HIGH
86,188,3.22,0.7293,1,2026-05-15 14:28:44,MEDIUM
87,194,18.98,0.9976,1,2026-05-15 14:28:44,HIGH
88,195,1.0,0.9991,1,2026-05-15 14:28:44,HIGH
89,196,2.0,0.9989,1,2026-05-15 14:28:44,HIGH
