id,transaction_id,amount,fraud_probability,prediction,alert_time,severity,date,hour
1,5,1.0,0.9995,1,2026-05-15 14:28:35,HIGH,2026-05-15,14
2,10,802.52,0.8944,1,2026-05-15 14:28:35,MEDIUM,2026-05-15,14
3,12,99.99,0.9997,1,2026-05-15 14:28:35,HIGH,2026-05-15,14
4,17,323.77,0.9442,1,2026-05-15 14:28:35,HIGH,2026-05-15,14
5,20,1.0,0.9996,1,2026-05-15 14:28:35,HIGH,2026-05-15,14
6,22,0.0,0.9977,1,2026-05-15 14:28:36,HIGH,2026-05-15,14
7,23,175.9,0.9996,1,2026-05-15 14:28:36,HIGH,2026-05-15,14
8,25,1402.16,0.9987,1,2026-05-15 14:28:36,HIGH,2026-05-15,14
9,26,318.11,0.9989,1,2026-05-15 14:28:36,HIGH,2026-05-15,14
10,27,111.7,0.9997,1,2026-05-15 14:28:36,HIGH,2026-05-15,14
11,31,0.0,0.9997,1,2026-05-15 14:28:36,HIGH,2026-05-15,14
12,32,1.0,0.9997,1,2026-05-15 14:28:36,HIGH,2026-05-15,14
13,35,1.0,0.9951,1,2026-05-15 14:28:36,HIGH,2026-05-15,14
14,36,1389.56,0.9992,1,2026-05-15 14:28:36,HIGH,2026-05-15,14
15,40,99.99,0.9997,1,2026-05-15 14:28:36,HIGH,2026-05-15,14
16,41,8.64,0.9997,1,2026-05-15 14:28:37,HIGH,2026-05-15,14
17,42,1.0,0.9997,1,2026-05-15 14:28:37,HIGH,2026-05-15,14
18,43,37.93,0.9997,1,2026-05-15 14:28:37,HIGH,2026-05-15,14
19,45,316.06,0.9997,1,2026-05-15 14:28:37,HIGH,2026-05-15,14
20,46,240.77,0.9997,1,2026-05-15 14:28:37,HIGH,2026-05-15,14
21,49,10.7,0.9994,1,2026-05-15 14:28:37,HIGH,2026-05-15,14
22,53,0.2,0.8203,1,2026-05-15 14:28:37,MEDIUM,2026-05-15,14
23,55,1.0,0.9996,1,2026-05-15 14:28:37,HIGH,2026-05-15,14
24,56,0.0,0.9996,1,2026-05-15 14:28:37,HIGH,2026-05-15,14
25,58,1.0,0.9996,1,2026-05-15 14:28:37,HIGH,2026-05-15,14
26,59,7.53,0.9996,1,2026-05-15 14:28:37,HIGH,2026-05-15,14
27,61,0.01,0.9997,1,2026-05-15 14:28:38,HIGH,2026-05-15,14
