transaction_id,amount,fraud_probability,prediction,actual_class,correct,timestamp
1,11.37,0.0595,0,0,1,2026-05-15 21:28:46
2,35.95,0.0127,0,0,1,2026-05-15 21:28:46
3,1.79,0.0078,0,0,1,2026-05-15 21:28:46
4,55.0,0.0093,0,0,1,2026-05-15 21:28:47
5,1.0,0.9995,1,1,1,2026-05-15 21:28:47
6,4.0,0.0056,0,0,1,2026-05-15 21:28:47
7,139.98,0.0466,0,0,1,2026-05-15 21:28:47
8,20.0,0.0105,0,0,1,2026-05-15 21:28:47
9,112.85,0.0062,0,0,1,2026-05-15 21:28:47
10,802.52,0.8944,1,1,1,2026-05-15 21:28:47
11,1.98,0.0085,0,0,1,2026-05-15 21:28:47
12,99.99,0.9997,1,1,1,2026-05-15 21:28:47
13,108.0,0.0299,0,0,1,2026-05-15 21:28:47
14,78.5,0.0297,0,0,1,2026-05-15 21:28:47
15,11.5,0.0371,0,0,1,2026-05-15 21:28:47
16,63.22,0.0379,0,0,1,2026-05-15 21:28:47
17,323.77,0.9442,1,1,1,2026-05-15 21:28:47
18,167.83,0.0835,0,0,1,2026-05-15 21:28:47
19,9.83,0.012,0,0,1,2026-05-15 21:28:47
20,1.0,0.9996,1,1,1,2026-05-15 21:28:48
21,1.98,0.0111,0,0,1,2026-05-15 21:28:48
22,0.0,0.9977,1,1,1,2026-05-15 21:28:48
23,175.9,0.9996,1,1,1,2026-05-15 21:28:48
24,21.99,0.2891,0,0,1,2026-05-15 21:28:48
25,1402.16,0.9987,1,1,1,2026-05-15 21:28:48
26,318.11,0.9989,1,1,1,2026-05-15 21:28:48
27,111.7,0.9997,1,1,1,2026-05-15 21:28:48
28,119.0,0.0176,0,0,1,2026-05-15 21:28:48
29,28.0,0.0073,0,0,1,2026-05-15 21:28:48
30,27.38,0.1078,0,0,1,2026-05-15 21:28:48
31,0.0,0.9997,1,1,1,2026-05-15 21:28:48
32,1.0,0.9997,1,1,1,2026-05-15 21:28:48
33,4.99,0.02,0,0,1,2026-05-15 21:28:48
34,35.0,0.0154,0,0,1,2026-05-15 21:28:49
35,1.0,0.9951,1,1,1,2026-05-15 21:28:49
36,1389.56,0.9992,1,1,1,2026-05-15 21:28:49
37,20.0,0.0182,0,0,1,2026-05-15 21:28:49
38,1.0,0.0034,0,0,1,2026-05-15 21:28:49
39,25.0,0.007,0,0,1,2026-05-15 21:28:49
40,99.99,0.9997,1,1,1,2026-05-15 21:28:49
41,8.64,0.9997,1,1,1,2026-05-15 21:28:49
42,1.0,0.9997,1,1,1,2026-05-15 21:28:49
43,37.93,0.9997,1,1,1,2026-05-15 21:28:49
44,52.0,0.0152,0,0,1,2026-05-15 21:28:49
45,316.06,0.9997,1,1,1,2026-05-15 21:28:49
46,240.77,0.9997,1,1,1,2026-05-15 21:28:49
47,0.89,0.0145,0,0,1,2026-05-15 21:28:49
48,97.99,0.0113,0,0,1,2026-05-15 21:28:50
49,10.7,0.9994,1,1,1,2026-05-15 21:28:50
50,133.6,0.0081,0,0,1,2026-05-15 21:28:50
51,6.87,0.0295,0,0,1,2026-05-15 21:28:50
52,21.02,0.0092,0,0,1,2026-05-15 21:28:50
53,0.2,0.8203,1,1,1,2026-05-15 21:28:50
54,114.32,0.0306,0,0,1,2026-05-15 21:28:50
55,1.0,0.9996,1,1,1,2026-05-15 21:28:50
56,0.0,0.9996,1,1,1,2026-05-15 21:28:50
57,170.0,0.0128,0,0,1,2026-05-15 21:28:50
58,1.0,0.9996,1,1,1,2026-05-15 21:28:50
59,7.53,0.9996,1,1,1,2026-05-15 21:28:50
60,22.54,0.052,0,0,1,2026-05-15 21:28:50
61,0.01,0.9997,1,1,1,2026-05-15 21:28:50
62,1.0,0.9996,1,1,1,2026-05-15 21:28:51
63,16.44,0.059,0,0,1,2026-05-15 21:28:51
64,1.1,0.9995,1,1,1,2026-05-15 21:28:51
65,129.0,0.0063,0,0,1,2026-05-15 21:28:51
66,64.95,0.0145,0,0,1,2026-05-15 21:28:51
67,17.99,0.0032,0,0,1,2026-05-15 21:28:51
68,15.0,0.0266,0,0,1,2026-05-15 21:28:51
